author,category,Year of publishing,grade,institution,isbn,lang,link,pages,pages_displayed,price,char_len_ref,subject,tags,text_len,title
Gabriel Silver (Autor:in),Hausarbeit,2007,2,none,9783668336063,de,https://www.hausarbeiten.de/document/343410,87,87 von 87 Seiten X- nach oben,Kostenlos,5013,Germanistik - Linguistik, deutsche jugendsprache gegenwart soziolinguistische analyse ,205291,Deutsche Jugendsprache der GegenwartSoziolinguistische Analyse
Philip Henri Unterreiner (Autor:in),Hausarbeit,2012,1,Bayerische Julius-Maximilians-Universität Würzburg,9783668314917,de,https://www.hausarbeiten.de/document/341557,14,14 von 14 Seiten X- nach oben,Kostenlos,1228,"Germanistik - Semiotik, Pragmatik, Semantik", Semiotik Musik und Sprache ,27049,Ein semiotischer Vergleich von Musik und Sprache. Überlegungen zu Manfred Bierwischs gleichnamigem Aufsatz
Alexander Eydlin (Autor:in),Hausarbeit,2016,"1,0",Freie Universität Berlin,9783668254640,de,https://www.hausarbeiten.de/document/335402,13,13 von 13 Seiten X- nach oben,Kostenlos,1154,Germanistik - Neuere Deutsche Literatur, Robert Schneider Schlafes Bruder Inzest ,23652,"Inzest als Motiv in ""Schlafes Bruder"" von Robert Schneider"
Krisztina Kaltenecker (Autor:in),Hausarbeit,2013,"1,00",Eberhard-Karls-Universität Tübingen,9783668157200,de,https://www.hausarbeiten.de/document/316098,12,12 von 12 Seiten X- nach oben,Kostenlos,1523,Germanistik - Neuere Deutsche Literatur, Hermeneutik Jürgen Habermas Selbstreflexion Metrik Kadenz Reim Erkenntnisweg Erkenntnisgegenstand Horaz Heraklit Neutestament Logos Paradox Lebensstorm ,21170,"Johann Wolfgang Goethes ""Dauer im Wechsel"" und die Bedingungen des hermeneutischen Verstehens nach Jürgen Habermas"
Anna Döring (Autor:in),Hausarbeit,2013,"1,3",Universität Duisburg-Essen,9783668039339,de,https://www.hausarbeiten.de/document/305799,13,13 von 13 Seiten X- nach oben,Kostenlos,2637,Germanistik - Neuere Deutsche Literatur, K.I.Z. Biergarten Eden Interpretation Ironie Analyse ,30598,"""Biergarten Eden"" von K.I.Z.: Ironie als Mittel gegen Neo-Patriotismus?"
Vanessa Hindinger (Autor:in),Hausarbeit (Hauptseminar),2014,"2,3",Karlsruher Institut für Technologie (KIT),9783656927037,de,https://www.hausarbeiten.de/document/294833,21,21 von 21 Seiten X- nach oben,Kostenlos,2135,Germanistik - Neuere Deutsche Literatur, Friedrich Dürrenmatt Existenzialismus ,71165,Einflüsse des Existenzialismus bei Friedrich Dürrenmatt
Vanessa Hindinger (Autor:in),Hausarbeit,2012,"2,0",Karlsruher Institut für Technologie (KIT),9783656926900,de,https://www.hausarbeiten.de/document/294846,17,17 von 17 Seiten X- nach oben,Kostenlos,1404,"Germanistik - Komparatistik, Vergleichende Literaturwissenschaft", Psychoanalyse Psychoanalytische Literaturwissenschaft Kafka Kafka Urteil Psychoanalyse von Kafka ,40922,"Psychoanalytische Literaturwissenschaft am Beispiel von Kafkas Erzählung ""Das Urteil"""
Vanessa Hindinger (Autor:in),Hausarbeit (Hauptseminar),2013,"2,7",Karlsruher Institut für Technologie (KIT),9783656927594,de,https://www.hausarbeiten.de/document/294850,22,22 von 22 Seiten X- nach oben,Kostenlos,735,Germanistik - Linguistik, Narratives Interview Sprache und Identität ,48711,Das Verhältnis von Zweisprachigkeit und IdentitätsbildungUntersuchung anhand eines Narrativen Interviews
Vanessa Hindinger (Autor:in),Hausarbeit (Hauptseminar),2014,"1,3",Karlsruher Institut für Technologie (KIT),9783656926153,de,https://www.hausarbeiten.de/document/294830,24,24 von 24 Seiten X- nach oben,Kostenlos,2736,Germanistik - Neuere Deutsche Literatur, bertolt brecht peter weiss realität teilfiktion ästhetik widerstands ,55036,"Bertolt Brecht und Peter Weiss. Realität und Teilfiktion in ""Die Ästhetik des Widerstands"""
Katharina Emmer (Autor:in),Hausarbeit,2014,none,none,9783656867210,de,https://www.hausarbeiten.de/document/285031,16,16 von 16 Seiten X- nach oben,Kostenlos,995,Germanistik - Neuere Deutsche Literatur, anders anderen homosexualität beginn jahrhunderts werkes venedig thomas mann ,27719,Anders als die Anderen. Homosexualität zu Beginn des 20. Jahrhunderts anhand des Werkes „Der Tod in Venedig“ von Thomas Mann
Henoch Förster (Autor:in),Seminararbeit,2014,"2,7",Otto-Friedrich-Universität Bamberg,9783656864059,de,https://www.hausarbeiten.de/document/286146,13,13 von 13 Seiten X- nach oben,Kostenlos,587,Germanistik - Linguistik, syntax fußballberichterstattung vergleich zeitung ,22469,Syntax in der FußballberichterstattungEin Vergleich zwischen TV und Zeitung
Benedikt Schraml (Autor:in),Hausarbeit (Hauptseminar),2011,"1,3",Universität zu Köln,9783656711261,de,https://www.hausarbeiten.de/document/278135,29,29 von 29 Seiten X- nach oben,Kostenlos,6375,"Germanistik - Komparatistik, Vergleichende Literaturwissenschaft", hörbuch literaturverlust sinnlichkeitsgewinn ,63465,Das Hörbuch. Literaturverlust oder Sinnlichkeitsgewinn?
Lennart Riepenhusen (Autor:in),Hausarbeit (Hauptseminar),2014,"1,0",Christian-Albrechts-Universität Kiel,9783656674597,de,https://www.hausarbeiten.de/document/274715,15,15 von 15 Seiten X- nach oben,Kostenlos,755,Germanistik - Neuere Deutsche Literatur, Fantasy Schicksal Determinismus Dämonen Meißner Tobias O. Meißner Bestimmung Fremdbestimmung Kontingenz Providenz Heldenmythos Selbstverwirklichung Chaos Eskalation Moral Geheimgesellschaft freier Wille ,35173,"Providenz und Kontingenz in Tobias O. Meißners ""Die Dämonen"""
Jana Hölters (Autor:in),Hausarbeit,2011,"1,3",Heinrich-Heine-Universität Düsseldorf,9783656039983,de,https://www.hausarbeiten.de/document/180817,28,28 von 28 Seiten X- nach oben,Kostenlos,2468,Germanistik - Linguistik, mental spaces blendingtheorie blending frames frame-semantik ,39338,Praktische Anwendung der Blending-Theorie am Beispiel von Witzen
Peggy Zenkner (Autor:in),Zwischenprüfungsarbeit,2010,"1,7",Heinrich-Heine-Universität Düsseldorf,9783640780259,de,https://www.hausarbeiten.de/document/163506,23,23 von 23 Seiten X- nach oben,Kostenlos,2990,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Hartmann Hartmann von Aue Erec Enite Joie de la curt Schönheit Weiblichkeit Mittelalter Mediävistik höfische Literatur höfische Epik Artus Artusgesellschaft höfische Dichtung 12. Jahrhundert höfische Dame triuwe König Artus Ginover Artushof Ritter locus amoenus Famurgan Tugend Schoene Aventiure Minne ,46669,"Frauenfiguren und Frauenverständnis in Hartmanns von Aue ""Erec"""
Maia Tabukashvili (Autor:in),Hausarbeit (Hauptseminar),2005,"1,0",Otto-Friedrich-Universität Bamberg,9783640201686,de,https://www.hausarbeiten.de/document/117961,27,27 von 27 Seiten X- nach oben,Kostenlos,3065,Germanistik - Neuere Deutsche Literatur, Negativität Paul Celans Lyrik Ausweitung Niemandsrose Paul Celan ,63386,"Negativität in Paul Celans Lyrik und ihre sprachliche Ausweitung in der ""Niemandsrose"""
Ines  Priegnitz (Autor:in),Seminararbeit,2008,"2,3",Ludwig-Maximilians-Universität München,9783640138913,de,https://www.hausarbeiten.de/document/113477,23,23 von 23 Seiten X- nach oben,Kostenlos,682,Germanistik - Neuere Deutsche Literatur, Analyse Interpretation Ballade Bürgschaft“ Johann Christoph Friedrich Schiller Lyrik ,31008,Analyse und Interpretation der Ballade „Die Bürgschaft“ (1798) von Johann Christoph Friedrich von Schiller
Miriam Oberle (Autor:in),Hausarbeit,2005,"2,3",Universität Mannheim,9783640097739,de,https://www.hausarbeiten.de/document/111692,21,20 von 21 Seiten X- nach oben,Kostenlos,1002,"Germanistik - Semiotik, Pragmatik, Semantik", Ereignisse Juni Rezeption Studentenbewegung Beispiel Dokumente Ereignissen Schah-Besuchs Zäsur Sprachgeschichte ,29317,"Die Ereignisse des 2. Juni 1967 in der sprachlichen Rezeption der Studentenbewegung am Beispiel der ""Dokumente zu den Ereignissen des Schah-Besuchs"""
Tanja Wagner (Autor:in),Hausarbeit (Hauptseminar),2007,"1,3",Universität Passau,9783640096817,de,https://www.hausarbeiten.de/document/111635,22,22 von 22 Seiten X- nach oben,Kostenlos,844,Germanistik - Neuere Deutsche Literatur, Text Elegie Abend Septembernacht Hauptseminar Lyrikinterpretation Göttinger Hain Boie Hölty 1773 Spätaufklärung Lyrik Göttinger Musenalmanach Distichon ,45699,"Zum Text ""Elegie am Abend nach der zwölften Septembernacht, 1773"" von J. H. Voß"
Andreas Trittmaack (Autor:in),Hausarbeit,2007,none,Europa-Universität Flensburg (ehem. Universität Flensburg),9783640096275,de,https://www.hausarbeiten.de/document/111577,11,11 von 11 Seiten X- nach oben,Kostenlos,522,Germanistik - Sonstiges, Lautbildung ,10547,Die Lautbildung
Marco Dietze (Autor:in),Seminararbeit,2003,"1,0",Martin-Luther-Universität Halle-Wittenberg,9783640095780,de,https://www.hausarbeiten.de/document/111527,34,34 von 34 Seiten X- nach oben,Kostenlos,962,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Mythische Elemente Nibelungenlied ,54975,Mythische Elemente im Nibelungenlied
Marco Dietze (Autor:in),Hausarbeit (Hauptseminar),2005,"1,0",Martin-Luther-Universität Halle-Wittenberg,9783640095797,de,https://www.hausarbeiten.de/document/111528,52,52 von 52 Seiten X- nach oben,Kostenlos,2671,Germanistik - Neuere Deutsche Literatur, Persönlichkeitsentwürfe Protagonisten Manés Sperber Elias Canetti Literaturtheorie Autobiographie Romanwelt Ethik ,109486,"Persönlichkeitsentwürfe der Protagonisten in Elias Cannettis Roman ""Die Blendung"""
Stephan Terrey (Autor:in),Hausarbeit (Hauptseminar),2007,none,Universität Rostock,9783640094974,de,https://www.hausarbeiten.de/document/111437,23,3 von 23 Seiten X- nach oben,Kostenlos,4617,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Problematisierung Kommunikation Mittelalter Beispiel Nibelungenliedes ,49935,Problematisierung nonverbaler Kommunikation im Mittelalter am Beispiel des Nibelungenliedes
Stephan Terrey (Autor:in),Seminararbeit,2006,"1,3",Universität Rostock,9783640094981,de,https://www.hausarbeiten.de/document/111438,11,1 von 11 Seiten X- nach oben,Kostenlos,665,Germanistik - Linguistik, Goten Lautverschiebung ,16248,Die Goten und die erste Lautverschiebung
Sebastian Polmans (Autor:in),Hausarbeit,2007,"1,0",Universität Siegen,9783640094660,de,https://www.hausarbeiten.de/document/111395,49,49 von 49 Seiten X- nach oben,Kostenlos,5112,Germanistik - Neuere Deutsche Literatur, Spaziergang Literatur Exemplarische Untersuchung Texte Robert Walser Spaziergang“ Thomas Bernhard Thomas Bernhard ,110284,"Der Spaziergang in der Literatur  -  Exemplarische Untersuchung anhand der Texte von Robert Walser, „Der Spaziergang“, und Thomas Bernhard, „Gehen“"
Sita Hermand (Autor:in),Hausarbeit,2007,10,Johann Wolfgang Goethe-Universität Frankfurt am Main,9783640094295,de,https://www.hausarbeiten.de/document/111351,20,20 von 20 Seiten X- nach oben,Kostenlos,467,Germanistik - Neuere Deutsche Literatur, Erzähltextanalyse Kurzgeschichte Tunnel Friedrich Dürrenmatt Neuere Deutsche Literaturwissenschft ,39143,"Erzähltextanalyse der Kurzgeschichte ""Der Tunnel"" von Friedrich Dürrenmatt"
Björn Pötters (Autor:in),Hausarbeit,2004,"1,0",Universität Paderborn,9783640092932,de,https://www.hausarbeiten.de/document/111206,17,17 von 17 Seiten X- nach oben,Kostenlos,512,Germanistik - Neuere Deutsche Literatur, Darstellung Alters Tanja Dückers Kurzgeschichte Aeterna“ ,23022,Die Darstellung des Alters in Tanja Dückers Kurzgeschichte „Lux Aeterna“
Dr. G. (Autor:in),Hausarbeit (Hauptseminar),2006,none,Technische Universität Berlin,9783640092567,de,https://www.hausarbeiten.de/document/111167,19,2 von 19 Seiten X- nach oben,Kostenlos,1364,Germanistik - Neuere Deutsche Literatur, Untersuchungen Mörikes Turmhahn“ Lampe“ ,37305,Untersuchungen zu Mörikes „Der alte Turmhahn“ und „Auf eine Lampe“
Gina Saiko (Autor:in),Hausarbeit,2007,"1,0",Ludwig-Maximilians-Universität München,9783640092253,de,https://www.hausarbeiten.de/document/111129,24,24 von 24 Seiten X- nach oben,Kostenlos,3538,Germanistik - Neuere Deutsche Literatur, Lavaters Wissenschaftsverständnis Kontext Anthropologie Jahrhunderts Hauptseminar Literatur Anthropologie Spätaufklärung Lichtenberg Schiller ,42454,Lavaters Wissenschaftsverständnis im Kontext der Anthropologie des 18. Jahrhunderts
Thomas Griebel (Autor:in),Seminararbeit,2007,"1,3",Technische Universität Dresden,9783640091881,de,https://www.hausarbeiten.de/document/111087,20,3 von 20 Seiten X- nach oben,Kostenlos,4304,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Wolframs Eschenbach Quellen Beispiel Christologie Willehalm Hauptseminar Willehalm ,39011,"Wolframs von Eschenbach theologische Quellen am Beispiel der Christologie im ""Willehalm"""
Thomas Griebel (Autor:in),Seminararbeit,2007,"2,0",Technische Universität Dresden,9783640091898,de,https://www.hausarbeiten.de/document/111088,33,5 von 33 Seiten X- nach oben,Kostenlos,7508,Germanistik - Neuere Deutsche Literatur, Science-Fiction Gegendiskurs Systemkritik Verfremdung Science-Fiction-Literatur Hauptseminar DDR-Literatur ,68320,Science-Fiction als Gegendiskurs -  Systemkritik durch Verfremdung in der Science-Fiction-Literatur der DDR
"Dr.phil., M.A. Reinhold Rauh (Autor:in)",Referat (Ausarbeitung),2005,none,none,9783640091584,de,https://www.hausarbeiten.de/document/111055,17,17 von 17 Seiten X- nach oben,Kostenlos,709,"Germanistik - Literaturgeschichte, Epochen", Frauen Goethes Wilhelm Meisters Lehrjahre ,30058,"Die Frauen in Goethes ""Wilhelm Meisters Lehrjahre""-"
Thomas Griebel (Autor:in),Seminararbeit,2007,"1,0",Technische Universität Dresden,9783640091072,de,https://www.hausarbeiten.de/document/110999,26,26 von 26 Seiten X- nach oben,Kostenlos,6875,Germanistik - Linguistik, Psychische Krankheit Konzept Metapherntheoretische Problem Hauptseminar Metaphorik ,49261,"""Psychische Krankheit"" als metaphernbasiertes Konzept  -  Metapherntheoretische Überlegungen zu einem medizinethischen Problem"
M.A. Anke Wartenberg (Autor:in),Hausarbeit (Hauptseminar),2001,"2,0",Rheinisch-Westfälische Technische Hochschule Aachen,9783638714860,de,https://www.hausarbeiten.de/document/74428,24,24 von 24 Seiten X- nach oben,Kostenlos,1201,Germanistik - Neuere Deutsche Literatur, Bertolt Brecht Juniaufstand Exilliteratur Jahrhundert ,42267,Bertolt Brecht und der Juniaufstand
Dorothea Goeth (Autor:in),Rezension / Literaturbericht,2006,"1,3",Universität des Saarlandes,9783640088553,de,https://www.hausarbeiten.de/document/110693,15,15 von 15 Seiten X- nach oben,Kostenlos,63,Germanistik - Neuere Deutsche Literatur, Rezension Hauptseminar Daniel Kehlmann Die Vermessung der Welt ,29898,"Rezension zu ""Die Vermessung der Welt"" von Daniel Kehlmann"
Dorothea Goeth (Autor:in),Hausarbeit,2005,"1,0",Johann Wolfgang Goethe-Universität Frankfurt am Main,9783640088560,de,https://www.hausarbeiten.de/document/110694,20,20 von 20 Seiten X- nach oben,Kostenlos,2297,Germanistik - Neuere Deutsche Literatur, Analyse Kinderlyrik Kinder- und Jugendliteratur Aufklärung Vergleich Christian Felix Weiße Christian Adolf Overbeck Kindergedicht ,27151,"Vergleichende Analyse von Christian Felix Weißes ""An die Bücher"" und Christian Adolf Overbecks ""An meine Bücher"""
Nina Bednarz (Autor:in),Hausarbeit (Hauptseminar),2006,"2,3",Rheinisch-Westfälische Technische Hochschule Aachen,9783638808989,de,https://www.hausarbeiten.de/document/70942,30,5 von 30 Seiten X- nach oben,Kostenlos,4769,Germanistik - Linguistik, Konzept Kontextualisierung Mündlichkeit Schriftlichkeit Mündlichkeit Schriftlichkeit ,63697,Das Konzept der Kontextualisierung in Mündlichkeit und Schriftlichkeit
Max Honert (Autor:in),Hausarbeit (Hauptseminar),2002,"1,3",Universität Leipzig,9783640087570,de,https://www.hausarbeiten.de/document/110593,30,30 von 30 Seiten X- nach oben,Kostenlos,1661,"Germanistik - Komparatistik, Vergleichende Literaturwissenschaft", Dingwelt Alain Robbe-Grillets Roman Jalousie Dichtung Dinglichkeit Verdinglichung ,56946,"Die Dingwelt in Alain Robbe-Grillets Roman ""La Jalousie"""
Frédéric Valin (Autor:in),Referat (Ausarbeitung),2007,none,Humboldt-Universität zu Berlin,9783640087501,de,https://www.hausarbeiten.de/document/110584,8,7 von 8 Seiten X- nach oben,Kostenlos,450,Germanistik - Sonstiges, Jeff Koons ,7746,Jeff Koons - (Selbst)inszenierungen
Elena Neumann (Autor:in),Hausarbeit (Hauptseminar),2003,"1,0",Technische Universität Darmstadt,9783640087075,de,https://www.hausarbeiten.de/document/110540,24,24 von 24 Seiten X- nach oben,Kostenlos,236,Germanistik - Linguistik, Sprache Kinderfernsehen Fernsehsprache ,47681,Sprache im Kinderfernsehen
Stephanie Schmitz (Autor:in),Hausarbeit,2002,"1,3",Universität zu Köln,9783640086337,de,https://www.hausarbeiten.de/document/110464,13,13 von 13 Seiten X- nach oben,Kostenlos,519,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Kudrunepos Einführungsseminar Sprache Literatur ,14524,"Fragen zum Kudrunepos. Über den sprachlichen Gebrauch von ""ir"" und ""du"" und den Charakter HagensMit einer Übersetzung der Strophe 151-156 sowie einem Vergleich der Kudrun- und Nibelungen-Strophe"
Oliver Lusch (Autor:in),Hausarbeit (Hauptseminar),2003,sehr gut,Freie Universität Berlin,9783640085781,de,https://www.hausarbeiten.de/document/110405,33,33 von 33 Seiten X- nach oben,Kostenlos,6836,Germanistik - Sonstiges, Germanistik Dritten Reich Exodus Wissenschaften Berlin ,44017,Germanistik im Dritten Reich
Jan Dahlke (Autor:in),Seminararbeit,2002,3,Technische Universität Carolo-Wilhelmina zu Braunschweig,9783640085705,de,https://www.hausarbeiten.de/document/110397,15,15 von 15 Seiten X- nach oben,Kostenlos,616,Germanistik - Linguistik, Gesprächswörter Jahrhundert Exemplarische Darstellung Beispiel Deutschen Wörterbuchs Jacob Wilhelm Grimm Historische Sprachstufen ,20549,Gesprächswörter im 19. Jahrhundert: Exemplarische Darstellung am Beispiel des Deutschen Wörterbuchs von Jacob und Wilhelm Grimm
Jan Dahlke (Autor:in),Hausarbeit,2003,1-2,Technische Universität Carolo-Wilhelmina zu Braunschweig,9783640085736,de,https://www.hausarbeiten.de/document/110400,17,17 von 17 Seiten X- nach oben,Kostenlos,1016,Germanistik - Linguistik, Eine Beschreibung Modalpartikel Entsprechungen Grammatische Strukturen Vergleich ,22973,"Eine Beschreibung der Modalpartikel ""aber"" und ihren spanischen Entsprechungen"
Anna Schefer (Autor:in),Hausarbeit,2006,unbenotet,Technische Universität Berlin,9783640085606,de,https://www.hausarbeiten.de/document/110387,20,20 von 20 Seiten X- nach oben,Kostenlos,553,Germanistik - Neuere Deutsche Literatur, Analyse Aspekte Tierwesen Swift Wells Tier Mensch Literatur Jahrhunderts ,37541,Analyse menschlicher Aspekte der Tierwesen bei Swift und Wells
Thomas Griebel (Autor:in),Seminararbeit,2006,"1,3",Technische Universität Dresden,9783640085330,de,https://www.hausarbeiten.de/document/110360,23,23 von 23 Seiten X- nach oben,Kostenlos,3537,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Form Funktion Iweins Wahnsinn Seminar Iwein ,39685,Form und Funktion von Iweins Wahnsinn
Thomas Griebel (Autor:in),Seminararbeit,2006,"1,3",Technische Universität Dresden,9783640085347,de,https://www.hausarbeiten.de/document/110361,24,24 von 24 Seiten X- nach oben,Kostenlos,5752,Germanistik - Neuere Deutsche Literatur, Funktion Bertolt Brechts Lehrstück Maßnahme Seminar Brechts Lehrstücke ,40917,"Die religiöse Funktion von Bertolt Brechts Lehrstück ""Die Maßnahme"""
